episode,seed,use_prev_action,mean_return,phase
965,0,1,179.265625,B
966,0,1,169.28125,B
967,0,1,183.640625,B
968,0,1,207.921875,B
969,0,1,197.59375,B
970,0,1,182.90625,B
971,0,1,223.328125,B
972,0,1,193.5,B
973,0,1,204.671875,B
974,0,1,151.3125,B
975,0,1,194.25,B
976,0,1,172.09375,B
977,0,1,157.578125,B
978,0,1,196.296875,B
979,0,1,94.34375,B
980,0,1,157.765625,B
981,0,1,148.34375,B
982,0,1,192.375,B
983,0,1,133.3125,B
984,0,1,125.40625,B
985,0,1,100.3125,B
986,0,1,125.0,B
987,0,1,199.65625,B
988,0,1,205.015625,B
989,0,1,203.71875,B
990,0,1,133.34375,B
991,0,1,151.140625,B
992,0,1,226.421875,B
993,0,1,146.859375,B
994,0,1,205.359375,B
995,0,1,167.90625,B
996,0,1,197.203125,B
997,0,1,187.171875,B
998,0,1,162.84375,B
999,0,1,141.90625,B
1000,0,1,118.234375,B
1001,0,1,152.765625,B
1002,0,1,184.0625,B
1003,0,1,198.0625,B
1004,0,1,179.375,B
1005,0,1,172.171875,B
1006,0,1,182.65625,B
1007,0,1,128.703125,B
1008,0,1,216.0,B
1009,0,1,178.625,B
1010,0,1,212.34375,B
1011,0,1,167.046875,B
1012,0,1,159.75,B
1013,0,1,191.640625,B
1014,0,1,166.9375,B
1015,0,1,109.171875,B
1016,0,1,91.328125,B
1017,0,1,108.671875,B
1018,0,1,152.84375,B
1019,0,1,183.40625,B
1020,0,1,103.1875,B
1021,0,1,133.578125,B
1022,0,1,158.640625,B
1023,0,1,174.71875,B
1024,0,1,188.8125,B
1025,0,1,195.484375,B
1026,0,1,204.375,B
1027,0,1,126.625,B
1028,0,1,193.40625,B
1029,0,1,155.578125,B
1030,0,1,204.4375,B
1031,0,1,199.765625,B
1032,0,1,173.78125,B
1033,0,1,216.859375,B
1034,0,1,211.546875,B
1035,0,1,178.5625,B
1036,0,1,167.96875,B
1037,0,1,232.28125,B
1038,0,1,181.9375,B
1039,0,1,202.78125,B
1040,0,1,171.390625,B
1041,0,1,170.671875,B
1042,0,1,206.796875,B
1043,0,1,164.625,B
1044,0,1,138.125,B
1045,0,1,101.609375,B
1046,0,1,99.453125,B
1047,0,1,99.109375,B
1048,0,1,80.78125,B
1049,0,1,91.671875,B
1050,0,1,117.765625,B
1051,0,1,111.125,B
1052,0,1,110.125,B
1053,0,1,138.96875,B
1054,0,1,74.671875,B
1055,0,1,83.6875,B
1056,0,1,108.65625,B
1057,0,1,81.890625,B
1058,0,1,84.828125,B
1059,0,1,73.953125,B
1060,0,1,71.203125,B
1061,0,1,80.359375,B
1062,0,1,71.75,B
1063,0,1,76.953125,B
1064,0,1,92.984375,B
1065,0,1,91.078125,B
1066,0,1,75.28125,B
1067,0,1,84.046875,B
1068,0,1,92.09375,B
1069,0,1,97.75,B
1070,0,1,105.75,B
1071,0,1,86.078125,B
1072,0,1,71.15625,B
1073,0,1,78.21875,B
1074,0,1,73.953125,B
1075,0,1,86.359375,B
1076,0,1,89.125,B
1077,0,1,93.75,B
