BlockName,BlockTrial,ControlPoint,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
Exposure,5,1,0.15,0,1,0,0,1731,7.34788079488412e-16,2,0.348380372393876,0.789661251008511,NaN
Exposure,6,1,0.15,0,1,0,0,1732,7.34788079488412e-16,2,0.349508723709732,1.22406182065606,NaN
Exposure,7,-1,-0.15,0,1,0,0,1733,7.34788079488412e-16,2,0.346579838078469,0.980798037722707,NaN
Exposure,8,-1,-0.15,0,1,0,0,1734,7.34788079488412e-16,2,0.381273223087192,1.00670671649277,NaN
Exposure,1,1,0.15,0,1,0,0,1735,7.34788079488412e-16,2,0.351841982454062,0.909651205874979,NaN
Exposure,2,-1,-0.15,0,1,0,0,1736,7.34788079488412e-16,2,0.359373506624252,0.85039619076997,NaN
Exposure,3,1,0.15,0,1,0,0,1737,7.34788079488412e-16,2,0.429873999208212,1.31411511683837,NaN
Exposure,4,-1,-0.15,0,1,0,0,1738,7.34788079488412e-16,2,0.353043476119637,1.00368225714192,NaN
Exposure,5,1,0.15,0,1,0,0,1739,7.34788079488412e-16,2,0.397716966457665,1.07459673844278,NaN
Exposure,6,-1,-0.15,0,1,0,0,1740,7.34788079488412e-16,2,0.331143759656698,0.769462838768959,NaN
Exposure,7,-1,-0.15,0,1,0,0,1741,7.34788079488412e-16,2,0.433464583940804,0.983733262866735,NaN
Exposure,8,1,0.15,0,1,0,0,1742,7.34788079488412e-16,2,0.325510781258345,1.43185422150418,NaN
Exposure,1,1,0.15,0,1,0,0,1743,7.34788079488412e-16,2,0.358041574247181,0.825119222979993,NaN
Exposure,2,-1,-0.15,0,1,0,0,1744,7.34788079488412e-16,2,0.424868342932314,0.755482547916472,NaN
Exposure,3,-1,-0.15,0,1,0,0,1745,7.34788079488412e-16,2,0.36527882097289,1.1300066318363,NaN
Exposure,4,1,0.15,0,1,0,0,1746,7.34788079488412e-16,2,0.34019836364314,1.0978686157614,NaN
Exposure,5,-1,-0.15,0,1,0,0,1747,7.34788079488412e-16,2,0.296652493067086,1.14635699568316,NaN
Exposure,6,1,0.15,0,1,0,0,1748,7.34788079488412e-16,2,0.355861672200263,1.39539419161156,NaN
Exposure,7,1,0.15,0,1,0,0,1749,7.34788079488412e-16,2,0.356361969839782,1.05131242750213,NaN
Exposure,8,-1,-0.15,0,1,0,0,1750,7.34788079488412e-16,2,0.327099201735109,1.56408025277779,NaN
Exposure,1,1,0.15,0,1,0,0,1751,7.34788079488412e-16,2,0.338379543274641,1.24129233742133,NaN
Exposure,2,1,0.15,0,1,0,0,1752,7.34788079488412e-16,2,0.355248246807605,1.42722403211519,NaN
Exposure,3,-1,-0.15,0,1,0,0,1753,7.34788079488412e-16,2,0.349443626124412,0.905914335045964,NaN
Exposure,4,-1,-0.15,0,1,0,0,1754,7.34788079488412e-16,2,0.317356078885496,0.927467597648501,NaN
Exposure,5,1,0.15,0,1,0,0,1755,7.34788079488412e-16,2,0.325663893483579,1.17230444028974,NaN
Exposure,6,1,0.15,0,1,0,0,1756,7.34788079488412e-16,2,0.375124586746097,0.986718467902392,NaN
Exposure,7,-1,-0.15,0,1,0,0,1757,7.34788079488412e-16,2,0.332258701324463,1.03287407709286,NaN
Exposure,8,-1,-0.15,0,1,0,0,1758,7.34788079488412e-16,2,0.382264797110111,0.983548942487687,NaN
Double,1,-1,-30,-1.4,2,0,0,1759,7.34788079488412e-16,2,0.345865475479513,0.855512049049139,-0.453166577539092
Double,2,1,-30,-1.4,2,0,0,1760,7.34788079488412e-16,2,0.271566672250628,1.26042237551883,0.368797076490398
Null8,1,-1,0,0,0,0,0,1761,7.34788079488412e-16,2,0.352849403396249,0.718749694991857,NaN
Null8,2,-1,0,0,0,0,0,1762,7.34788079488412e-16,2,0.411269614472985,0.701078857760876,NaN
Null8,3,1,0,0,0,0,0,1763,7.34788079488412e-16,2,0.328641541302204,0.834932805970311,NaN
Null8,4,-1,0,0,0,0,0,1764,7.34788079488412e-16,2,0.320473429746926,2.76187011785805,NaN
Null8,5,1,0,0,0,0,0,1765,7.34788079488412e-16,2,0.326862949412316,0.805968704633415,NaN
Null8,6,1,0,0,0,0,0,1766,7.34788079488412e-16,2,0.407078526448458,0.746873141266406,NaN
Null8,7,1,0,0,0,0,0,1767,7.34788079488412e-16,2,0.361110894475132,0.701937555335462,NaN
Null8,8,-1,0,0,0,0,0,1768,7.34788079488412e-16,2,0.336232555564493,0.696601537056267,NaN
Null10,1,1,0,0,0,0,0,1769,7.34788079488412e-16,2,0.326157608535141,0.974236631765962,NaN
Null10,2,1,0,0,0,0,0,1770,7.34788079488412e-16,2,0.330785603262484,0.956894205883145,NaN
Null10,3,1,0,0,0,0,0,1771,7.34788079488412e-16,2,0.354959088843316,0.716817015781999,NaN
Null10,4,1,0,0,0,0,0,1772,7.34788079488412e-16,2,0.342657427769154,0.720500492490828,NaN
Null10,5,-1,0,0,0,0,0,1773,7.34788079488412e-16,2,0.384347663260996,0.923200441058725,NaN
Null10,6,-1,0,0,0,0,0,1774,7.34788079488412e-16,2,0.335204410366714,0.966159461531788,NaN
Null10,7,1,0,0,0,0,0,1775,7.34788079488412e-16,2,0.320238884538412,0.987822925671935,NaN
Null10,8,-1,0,0,0,0,0,1776,7.34788079488412e-16,2,0.268441276159137,1.00365373166278,NaN
Null10,9,-1,0,0,0,0,0,1777,7.34788079488412e-16,2,0.379899599123746,0.993165771011263,NaN
Null10,10,-1,0,0,0,0,0,1778,7.34788079488412e-16,2,0.312376997899264,1.01271199248731,NaN
Triplet1,1,1,-30,-1.4,2,0,0,1779,7.34788079488412e-16,2,0.327701654750854,0.766507377848029,0.119812855266337
Triplet1,2,1,0.15,0,1,0,0,1780,7.34788079488412e-16,2,0.331157169770449,1.19030344532803,NaN
Triplet1,3,1,-30,-1.4,2,0,0,1781,7.34788079488412e-16,2,0.310996791813523,0.551723246462643,0.590675009916139
Null6,1,-1,0,0,0,0,0,1782,7.34788079488412e-16,2,0.343862579204142,0.728948741685599,NaN
Null6,2,-1,0,0,0,0,0,1783,7.34788079488412e-16,2,0.35741693386808,0.803932406473905,NaN
Null6,3,-1,0,0,0,0,0,1784,7.34788079488412e-16,2,0.329048947431147,0.803098089527339,NaN
Null6,4,1,0,0,0,0,0,1785,7.34788079488412e-16,2,0.326465783640742,1.07361394166946,NaN
Null6,5,1,0,0,0,0,0,1786,7.34788079488412e-16,2,0.328960444312543,0.994007402099669,NaN
Null6,6,1,0,0,0,0,0,1787,7.34788079488412e-16,2,0.314378431998193,0.959688752423972,NaN
Triplet2,1,1,-30,-1.4,2,0,0,1788,7.34788079488412e-16,2,0.311711153946817,0.605403554160148,-0.00610699892186793
Triplet2,2,-1,-0.15,0,1,0,0,1789,7.34788079488412e-16,2,0.31233774498105,1.06507133878767,NaN
Triplet2,3,1,-30,-1.4,2,0,0,1790,7.34788079488412e-16,2,0.315419742837548,0.737088571302593,0.0178321692879489
Double,1,-1,-30,-1.4,2,0,0,1791,7.34788079488412e-16,2,0.324994636233896,0.660850505810231,-0.252497141954085
Double,2,1,-30,-1.4,2,0,0,1792,7.34788079488412e-16,2,0.327007041312754,0.662234857212752,0.18674132130657
Exposure,1,1,0.15,0,1,0,0,1793,7.34788079488412e-16,2,0.358373642899096,0.953359941020608,NaN
