BlockName,BlockTrial,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
FieldA,8,0.15,0,1,0,0,143,7.34788079488412e-16,2,0.264277995564044,1.10155341029167,NaN
FieldA,9,0.15,0,1,0,0,144,7.34788079488412e-16,2,0.286025352776051,0.595114634372294,NaN
FieldA,10,0.15,0,1,0,0,145,7.34788079488412e-16,2,0.315624363720417,0.806414688006043,NaN
FieldA,1,0.15,0,1,0,0,146,7.34788079488412e-16,2,0.379296296276152,0.993807715363801,NaN
FieldA,2,0.15,0,1,0,0,147,7.34788079488412e-16,2,0.319741824641824,0.979269819334149,NaN
FieldA,3,0.15,0,1,0,0,148,7.34788079488412e-16,2,0.33025295753032,0.849594885483384,NaN
FieldA,4,0.15,0,1,0,0,149,7.34788079488412e-16,2,0.296506252139807,0.968709924258292,NaN
FieldA,5,0.15,0,1,0,0,150,7.34788079488412e-16,2,0.338452773168683,1.05960810929537,NaN
FieldA,6,0.15,0,1,0,0,151,7.34788079488412e-16,2,0.292709644883871,0.853654564358294,NaN
FieldA,7,0.15,0,1,0,0,152,7.34788079488412e-16,2,0.290450990200043,1.24856688547879,NaN
FieldA,8,0.15,0,1,0,0,153,7.34788079488412e-16,2,0.289444298483431,0.951891916804016,NaN
FieldA,9,-30,-1.4,2,0,0,154,7.34788079488412e-16,2,0.32841804344207,0.565382503904402,1.1439525564133
FieldA,10,0.15,0,1,0,0,155,7.34788079488412e-16,2,0.258002572692931,1.13375679869205,NaN
FieldA,1,0.15,0,1,0,0,156,7.34788079488412e-16,2,0.262135882861912,1.01564138103276,NaN
FieldA,2,0.15,0,1,0,0,157,7.34788079488412e-16,2,0.287402634508908,0.959294472821057,NaN
FieldA,3,0.15,0,1,0,0,158,7.34788079488412e-16,2,0.294501891359687,0.593953367322683,NaN
FieldA,4,0.15,0,1,0,0,159,7.34788079488412e-16,2,0.35119110904634,1.08223171904683,NaN
FieldA,5,0.15,0,1,0,0,160,7.34788079488412e-16,2,0.307252419181168,1.28599926456809,NaN
FieldA,6,0.15,0,1,0,0,161,7.34788079488412e-16,2,0.116843705065548,1.12532975338399,NaN
FieldA,7,0.15,0,1,0,0,162,7.34788079488412e-16,2,0.329290396533906,0.825643244199455,NaN
FieldA,8,-30,-1.4,2,0,0,163,7.34788079488412e-16,2,0.40179190505296,0.817667733877897,0.833271283257278
FieldA,9,0.15,0,1,0,0,164,7.34788079488412e-16,2,0.276911250315607,0.783853981643915,NaN
FieldA,10,0.15,0,1,0,0,165,7.34788079488412e-16,2,0.285249060951173,0.679537230171263,NaN
FieldA,1,0.15,0,1,0,0,166,7.34788079488412e-16,2,0.250629761256278,0.63657134026289,NaN
FieldA,2,0.15,0,1,0,0,167,7.34788079488412e-16,2,0.272522915154696,0.741233814507723,NaN
FieldA,3,0.15,0,1,0,0,168,7.34788079488412e-16,2,0.280290698632598,0.848531142808497,NaN
FieldA,4,0.15,0,1,0,0,169,7.34788079488412e-16,2,0.301827647723258,1.01369114499539,NaN
FieldA,5,0.15,0,1,0,0,170,7.34788079488412e-16,2,0.283699893392622,1.05140536930412,NaN
FieldA,6,0.15,0,1,0,0,171,7.34788079488412e-16,2,0.326978102326393,0.868286084383726,NaN
FieldA,7,0.15,0,1,0,0,172,7.34788079488412e-16,2,0.263463670387864,0.742062037810683,NaN
FieldA,8,-30,-1.4,2,0,0,173,7.34788079488412e-16,2,0.25706463586539,0.521731995977461,0.934799379855957
FieldA,9,0.15,0,1,0,0,174,7.34788079488412e-16,2,0.254233758896589,0.917225560173392,NaN
FieldA,10,0.15,0,1,0,0,175,7.34788079488412e-16,2,0.290736491791904,0.716811375692487,NaN
FieldB,1,-0.15,0,1,0,0,176,7.34788079488412e-16,2,0.332010827027261,1.56306947860867,NaN
FieldB,2,-0.15,0,1,0,0,177,7.34788079488412e-16,2,0.421195273287594,1.12387835234404,NaN
FieldB,3,-0.15,0,1,0,0,178,7.34788079488412e-16,2,0.329753147438169,1.05746526457369,NaN
FieldB,4,-0.15,0,1,0,0,179,7.34788079488412e-16,2,0.284058537334204,1.24664980731905,NaN
FieldB,5,-0.15,0,1,0,0,180,7.34788079488412e-16,2,0.249902475625277,0.789445030502975,NaN
FieldB,6,-0.15,0,1,0,0,181,7.34788079488412e-16,2,0.268478352576494,0.880866188555956,NaN
FieldB,7,-0.15,0,1,0,0,182,7.34788079488412e-16,2,0.274454621598125,1.21231942158192,NaN
FieldB,8,-0.15,0,1,0,0,183,7.34788079488412e-16,2,0.238091348670423,1.05314007680863,NaN
FieldB,9,-0.15,0,1,0,0,184,7.34788079488412e-16,2,0.320410595275462,0.811198237352073,NaN
FieldB,10,-0.15,0,1,0,0,185,7.34788079488412e-16,2,0.264076365157962,1.08046848606318,NaN
FieldB,11,-0.15,0,1,0,0,186,7.34788079488412e-16,2,0.282061490230262,1.02832559123635,NaN
FieldB,12,-0.15,0,1,0,0,187,7.34788079488412e-16,2,0.33211980946362,0.923682134598494,NaN
FieldB,13,-0.15,0,1,0,0,188,7.34788079488412e-16,2,0.216424937359989,1.09813202545047,NaN
FieldB,14,-0.15,0,1,0,0,189,7.34788079488412e-16,2,0.229803518392146,1.11797473952174,NaN
FieldB,15,-0.15,0,1,0,0,190,7.34788079488412e-16,2,0.168383657000959,0.981397547759116,NaN
Clamp2,1,-30,-1.4,2,0,0,191,7.34788079488412e-16,2,0.0565146487206221,0.975973508320749,-0.0541422985778277
Clamp2,2,-30,-1.4,2,0,0,192,7.34788079488412e-16,2,0.255967491306365,0.758688653819263,0.110518269938901
