BlockName,BlockTrial,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
Null,7,-30,-1.4,2,0,0,27,7.34788079488412e-16,2,0.332086652517319,0.847844085656106,0.0151777683343515
Null,8,0,0,0,0,0,28,7.34788079488412e-16,2,0.360298627987504,1.44301309064031,NaN
Null,9,0,0,0,0,0,29,7.34788079488412e-16,2,0.43259631190449,1.03667632490396,NaN
Null,10,0,0,0,0,0,30,7.34788079488412e-16,2,0.31010353192687,1.1485233893618,NaN
Null,1,0,0,0,0,0,31,7.34788079488412e-16,2,0.328170821070671,0.873934916220605,NaN
Null,2,0,0,0,0,0,32,7.34788079488412e-16,2,0.312065714038908,1.07468531373888,NaN
Null,3,0,0,0,0,0,33,7.34788079488412e-16,2,0.383568333461881,1.05849024187773,NaN
Null,4,0,0,0,0,0,34,7.34788079488412e-16,2,0.296603288501501,1.05135563202202,NaN
Null,5,0,0,0,0,0,35,7.34788079488412e-16,2,0.314651317894459,0.911567707546055,NaN
Null,6,0,0,0,0,0,36,7.34788079488412e-16,2,0.309935790486634,1.0234125778079,NaN
Null,7,-30,-1.4,2,0,0,37,7.34788079488412e-16,2,0.338653915561736,0.895873663946986,0.0020177636202704
Null,8,0,0,0,0,0,38,7.34788079488412e-16,2,0.31138914078474,1.03470902238041,NaN
Null,9,0,0,0,0,0,39,7.34788079488412e-16,2,0.355104501359165,0.94589224178344,NaN
Null,10,0,0,0,0,0,40,7.34788079488412e-16,2,0.315486853942275,1.02638754621148,NaN
Null,1,0,0,0,0,0,41,7.34788079488412e-16,2,0.299906669184566,0.953506669029593,NaN
Null,2,0,0,0,0,0,42,7.34788079488412e-16,2,0.320652211084962,0.953309427015483,NaN
Null,3,0,0,0,0,0,43,7.34788079488412e-16,2,0.314360695891082,0.936618687584996,NaN
Null,4,-30,-1.4,2,0,0,44,7.34788079488412e-16,2,0.304821389727294,0.808459277264774,-0.040887886832012
Null,5,0,0,0,0,0,45,7.34788079488412e-16,2,0.294630866497755,0.668344891630113,NaN
Null,6,0,0,0,0,0,46,7.34788079488412e-16,2,0.369668487459421,0.941609964706004,NaN
Null,7,0,0,0,0,0,47,7.34788079488412e-16,2,0.333152344450355,0.755833395756781,NaN
Null,8,0,0,0,0,0,48,7.34788079488412e-16,2,0.315691898576915,1.01381695177406,NaN
Null,9,0,0,0,0,0,49,7.34788079488412e-16,2,0.284812154248357,0.907353941351175,NaN
Null,10,0,0,0,0,0,50,7.34788079488412e-16,2,0.282099524512887,0.82578294724226,NaN
FieldA,1,-0.15,0,1,0,0,51,7.34788079488412e-16,2,0.302739496342838,1.41477990336716,NaN
FieldA,2,-0.15,0,1,0,0,52,7.34788079488412e-16,2,0.283972228877246,1.71117912326008,NaN
FieldA,3,-0.15,0,1,0,0,53,7.34788079488412e-16,2,0.305933650583029,1.24459083285183,NaN
FieldA,4,-0.15,0,1,0,0,54,7.34788079488412e-16,2,0.406471105292439,1.20793401356786,NaN
FieldA,5,-0.15,0,1,0,0,55,7.34788079488412e-16,2,0.322696313261986,1.05867602396756,NaN
FieldA,6,-0.15,0,1,0,0,56,7.34788079488412e-16,2,0.346895665861666,1.4950833292678,NaN
FieldA,7,-0.15,0,1,0,0,57,7.34788079488412e-16,2,0.425859600305557,1.45784575399011,NaN
FieldA,8,-30,-1.4,2,0,0,58,7.34788079488412e-16,2,0.439449077472091,1.12470681872219,-0.579263652837679
FieldA,9,-0.15,0,1,0,0,59,7.34788079488412e-16,2,0.396949840709567,1.1142856515944,NaN
FieldA,10,-0.15,0,1,0,0,60,7.34788079488412e-16,2,0.479420005343854,1.54529817495495,NaN
FieldA,1,-0.15,0,1,0,0,61,7.34788079488412e-16,2,0.310274929739535,1.28636888042092,NaN
FieldA,2,-0.15,0,1,0,0,62,7.34788079488412e-16,2,0.530673968605697,1.10351681150496,NaN
FieldA,3,-0.15,0,1,0,0,63,7.34788079488412e-16,2,0.373656729236245,1.56219956558198,NaN
FieldA,4,-0.15,0,1,0,0,64,7.34788079488412e-16,2,0.358448355458677,1.40339422412217,NaN
FieldA,5,-0.15,0,1,0,0,65,7.34788079488412e-16,2,0.327133410610259,1.78227970004082,NaN
FieldA,6,-0.15,0,1,0,0,66,7.34788079488412e-16,2,0.416737209074199,1.54936955589801,NaN
FieldA,7,-30,-1.4,2,0,0,67,7.34788079488412e-16,2,0.316211457364261,0.61593209952116,-0.575031149436164
FieldA,8,-0.15,0,1,0,0,68,7.34788079488412e-16,2,0.331174315884709,1.01174529828131,NaN
FieldA,9,-0.15,0,1,0,0,69,7.34788079488412e-16,2,0.317468297667801,1.2592201596126,NaN
FieldA,10,-0.15,0,1,0,0,70,7.34788079488412e-16,2,0.335199129767716,1.19974200055003,NaN
FieldA,1,-0.15,0,1,0,0,71,7.34788079488412e-16,2,0.341294377110898,0.981679392047226,NaN
